"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Ted Martinez","R",72,165,0.24,7,22.3755787,0.11,22.49,29.16666667,0.84509804,1.266984768,"healthy"
"Jim Anderson","R",72,170,0.218,13,23.05362654,0.44,23.5,59.63302752,1.113943352,1.319438549,"healthy"
"Lenn Sakata","R",69,160,0.23,25,23.6252888,0.19,23.82,108.6956522,1.397940009,1.363662342,"healthy"
"Dave Duncan","R",74,190,0.214,109,24.39189189,-0.02,24.37,509.3457944,2.037426498,1.422966757,"healthy"
"Bruce Bochte","L",75,195,0.282,100,24.37066667,0.07,24.44,354.6099291,2,1.421324774,"healthy"
"Bernie Carbo","L",71,173,0.264,96,24.12596707,0.49,24.61,363.6363636,1.982271233,1.402394813,"healthy"
"Vic Davalillo","L",67,150,0.279,36,23.49075518,0.17,23.66,129.0322581,1.556302501,1.353254821,"healthy"
"Fernando Gonzalez","R",70,165,0.235,17,23.67244898,0.27,23.94,72.34042553,1.230448921,1.367310653,"healthy"
"Lenny Faedo","R",72,170,0.251,5,23.05362654,-0.46,22.59,19.92031873,0.698970004,1.319438549,"healthy"
"John Lowenstein","L",72,175,0.253,116,23.73167438,-0.21,23.52,458.4980237,2.064457989,1.37189233,"healthy"
"Don Kessinger","B",73,170,0.252,14,22.42634641,-0.09,22.33,55.55555556,1.146128036,1.270912158,"healthy"
"Bake McBride","L",74,190,0.299,63,24.39189189,0.47,24.86,210.7023411,1.799340549,1.422966757,"healthy"
"Dick Davis","R",75,190,0.265,27,23.74577778,0.24,23.99,101.8867925,1.431363764,1.372983369,"healthy"
"Richie Scheinblum","B",73,180,0.263,13,23.74554325,-0.27,23.47,49.42965779,1.113943352,1.372965226,"healthy"
"Mike Hegan","L",73,188,0.242,53,24.80090073,0.46,25.26,219.0082645,1.72427587,1.45460768,"healthy"
"Tim Foli","R",72,179,0.251,25,24.27411265,0.22,24.5,99.60159363,1.397940009,1.413855355,"healthy"
"Stan Papi","R",72,170,0.218,7,23.05362654,0.24,23.29,32.11009174,0.84509804,1.319438549,"healthy"
"Rob Wilfong","L",73,180,0.248,39,23.74554325,-0.1,23.64,157.2580645,1.591064607,1.372965226,"healthy"
"Steve Henderson","R",74,190,0.28,68,24.39189189,0,24.4,242.8571429,1.832508913,1.422966757,"healthy"
"Rob Picciolo","R",74,185,0.234,17,23.75,-0.09,23.66,72.64957265,1.230448921,1.37331,"healthy"
"Bob Dernier","R",72,160,0.255,23,21.69753086,0.27,21.97,90.19607843,1.361727836,1.214530987,"healthy"
"Albert Hall","B",71,155,0.251,5,21.61575084,0.19,21.81,19.92031873,0.698970004,1.208204485,"healthy"
"Barbaro Garbey","R",70,170,0.267,11,24.38979592,0.39,24.78,41.19850187,1.041392685,1.422804612,"healthy"
"Rich Reese","L",75,185,0.253,52,23.12088889,-0.48,22.64,205.5335968,1.716003344,1.324641965,"healthy"
"Jack Hiatt","R",74,190,0.251,22,24.39189189,0.43,24.82,87.64940239,1.342422681,1.422966757,"healthy"
